2026-05-22 10:27:58 | DEBUG    | yfinance                       | Exiting history()
2026-05-22 10:27:58 | INFO     | src.data.downloader            | [YPF] 5 weekly rows (2024-01-01 → 2024-01-29)
2026-05-22 10:27:58 | INFO     | src.data.downloader            | [GGAL] 5 weekly rows (2024-01-01 → 2024-01-29)
2026-05-22 10:27:58 | INFO     | src.data.downloader            | [BMA] 5 weekly rows (2024-01-01 → 2024-01-29)
2026-05-22 10:27:58 | INFO     | src.data.downloader            | [PAM] 5 weekly rows (2024-01-01 → 2024-01-29)
2026-05-22 10:27:58 | INFO     | src.data.downloader            | [TGS] 5 weekly rows (2024-01-01 → 2024-01-29)
2026-05-22 10:27:58 | INFO     | src.data.downloader            | [CEPU] 5 weekly rows (2024-01-01 → 2024-01-29)
2026-05-22 10:27:58 | INFO     | src.data.downloader            | [EDN] 5 weekly rows (2024-01-01 → 2024-01-29)
2026-05-22 10:27:58 | INFO     | src.data.downloader            | [LOMA] 5 weekly rows (2024-01-01 → 2024-01-29)
2026-05-22 10:27:58 | INFO     | src.data.downloader            | [CRESY] 5 weekly rows (2024-01-01 → 2024-01-29)
2026-05-22 10:27:58 | INFO     | src.data.downloader            | [IRS] 5 weekly rows (2024-01-01 → 2024-01-29)
2026-05-22 10:27:58 | DEBUG    | yfinance                       | Entering history()
